N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1113.0,콤텍시스템,540.0,상승  5,+0.93%,500.0,8926.0,5254.0,155.0
1114.0,새론오토모티브,3380.0,상승  30,+0.90%,500.0,1403.0,2576.0,-76.0
1115.0,DSR,4050.0,하락  40,-0.98%,500.0,2911.0,3435.0,243.0
1116.0,IHQ,10760.0,보합0,0.00%,500.0,363.0,1517.0,-174.0
1117.0,삼정펄프,25850.0,상승  50,+0.19%,5000.0,1783.0,2427.0,74.0
1118.0,대양금속,1522.0,하락  12,-0.78%,500.0,2010.0,1511.0,-25.0
1119.0,혜인,5030.0,상승  20,+0.40%,500.0,2761.0,2540.0,91.0
1120.0,명문제약,1883.0,상승  33,+1.78%,500.0,1696.0,2365.0,10.0
1121.0,TIGER 글로벌AI&로보틱스 INDXX,13845.0,상승  35,+0.25%,0.0,,,
1122.0,테이팩스,13340.0,상승  80,+0.60%,500.0,1458.0,1999.0,66.0
1123.0,미래에셋맵스리츠,2545.0,상승  5,+0.20%,1000.0,66.0,3043.0,43.0
1124.0,삼성 미국 대형 성장주 ETN,31790.0,보합0,0.00%,0.0,,,
1125.0,KB 인버스 천연가스 선물 ETN,14115.0,상승  85,+0.61%,0.0,,,
1126.0,PLUS 신흥국MSCI(합성 H),9620.0,상승  20,+0.21%,0.0,,,
1127.0,메리츠 KAP 통안채 3개월 ETN,52880.0,보합0,0.00%,0.0,,,
1128.0,KODEX 아시아달러채권ESG플러스액티브,61485.0,하락  65,-0.11%,0.0,,,
1129.0,상신브레이크,2955.0,보합0,0.00%,500.0,5755.0,5649.0,275.0
1130.0,PLUS 미국S&P500(H),24145.0,상승  235,+0.98%,0.0,,,
1131.0,동양피스톤,4750.0,상승  55,+1.17%,500.0,4217.0,3726.0,133.0
1132.0,유엔젤,4705.0,상승  40,+0.86%,500.0,366.0,629.0,-18.0
1133.0,성안머티리얼스,756.0,하락  6,-0.79%,500.0,338.0,1284.0,-93.0
1134.0,KODEX 미국메타버스나스닥액티브,15690.0,상승  245,+1.59%,0.0,,,
1135.0,KB Wise 분할매매 ETN,10295.0,보합0,0.00%,0.0,,,
1136.0,대림B&Co,3700.0,상승  45,+1.23%,1000.0,2663.0,3477.0,41.0
1137.0,KODEX 미국10년국채선물,11990.0,하락  35,-0.29%,0.0,,,
1138.0,HANARO 25-12 은행채(AA+이상)액티브,10100.0,상승  10,+0.10%,0.0,,,
1139.0,신한 레버리지 코스닥 150 선물 ETN,24300.0,상승  250,+1.04%,0.0,,,
1140.0,TIGER 현대차그룹+펀더멘털,26630.0,하락  270,-1.00%,0.0,,,
1141.0,금비,60700.0,보합0,0.00%,5000.0,2595.0,2828.0,124.0
1142.0,ACE 구글밸류체인액티브,11665.0,상승  380,+3.37%,0.0,,,
1143.0,미래에셋증권우,4285.0,상승  20,+0.47%,5000.0,,,
1144.0,TIGER 코스닥150 레버리지,8180.0,상승  95,+1.18%,0.0,,,
1145.0,한솔로지스틱스,2115.0,상승  25,+1.20%,500.0,7265.0,2451.0,263.0
1146.0,미래에셋 홍콩H 선물 ETN(H),11905.0,하락  5,-0.04%,0.0,,,
1147.0,화천기공,27050.0,하락  150,-0.55%,5000.0,2257.0,4639.0,46.0
1148.0,HANARO Fn K-POP&미디어,6805.0,하락  15,-0.22%,0.0,,,
1149.0,화천기계,2685.0,하락  20,-0.74%,500.0,1619.0,1675.0,-30.0
1150.0,SH에너지화학,530.0,하락  3,-0.56%,500.0,1340.0,1208.0,-41.0
1151.0,STX그린로지스,8210.0,상승  130,+1.61%,2500.0,283.0,739.0,18.0
1152.0,아모레G우,9100.0,상승  200,+2.25%,500.0,,,
1153.0,플레이그램,386.0,상승  1,+0.26%,100.0,2144.0,2736.0,-26.0
1154.0,TIGER 골드선물(H),17135.0,하락  80,-0.46%,0.0,,,
1155.0,씨아이테크,1160.0,하락  1,-0.09%,500.0,571.0,906.0,-71.0
1156.0,RISE 미국S&P500(H),14515.0,상승  120,+0.83%,0.0,,,
1157.0,비상교육,4465.0,상승  15,+0.34%,500.0,2524.0,3626.0,-58.0
1158.0,RISE 고배당,13015.0,상승  60,+0.46%,0.0,,,
1159.0,하이스틸,2850.0,상승  40,+1.42%,500.0,2567.0,2704.0,34.0
1160.0,다이나믹디자인,1661.0,상승  2,+0.12%,500.0,671.0,1065.0,-88.0
1161.0,화승알앤에이,3020.0,하락  40,-1.31%,500.0,6807.0,4308.0,318.0
1162.0,이건산업,5230.0,하락  30,-0.57%,5000.0,3116.0,4431.0,91.0
1163.0,ACE 마이크로소프트밸류체인액티브,12445.0,상승  330,+2.72%,0.0,,,
1164.0,ACE 인도컨슈머파워액티브,11105.0,하락  20,-0.18%,0.0,,,
1165.0,티에이치엔,3170.0,하락  20,-0.63%,500.0,5863.0,4030.0,431.0
1166.0,서울식품,152.0,상승  1,+0.66%,100.0,648.0,708.0,6.0
1167.0,TIGER 미국나스닥바이오,23510.0,상승  190,+0.81%,0.0,,,
1168.0,갤럭시아에스엠,2060.0,상승  55,+2.74%,500.0,330.0,900.0,46.0
1169.0,KODEX TRF5050,16190.0,상승  120,+0.75%,0.0,,,
1170.0,SOL 한국형글로벌반도체액티브,19210.0,상승  385,+2.05%,0.0,,,
1171.0,KODEX 차이나H레버리지(H),1992.0,상승  11,+0.56%,0.0,,,
1172.0,RISE 미국달러SOFR금리액티브(합성),12065.0,상승  40,+0.33%,0.0,,,
1173.0,삼화전자,3300.0,하락  10,-0.30%,1000.0,419.0,730.0,-50.0
1174.0,인팩,5560.0,하락  180,-3.14%,500.0,5429.0,4829.0,235.0
1175.0,조비,10700.0,하락  70,-0.65%,5000.0,1147.0,1186.0,-56.0
1176.0,케이비아이동국실업,499.0,상승  6,+1.22%,500.0,6494.0,6222.0,45.0
1177.0,다스코,2935.0,상승  10,+0.34%,500.0,3781.0,3200.0,225.0
1178.0,서원,1161.0,하락  8,-0.68%,500.0,2332.0,2470.0,5.0
1179.0,DSR제강,3805.0,하락  105,-2.69%,500.0,2130.0,2630.0,235.0
1180.0,한솔홈데코,680.0,상승  19,+2.87%,1000.0,3000.0,3121.0,-21.0
1181.0,ACE 단기채권알파액티브,109045.0,상승  25,+0.02%,0.0,,,
1182.0,선도전기,3000.0,보합0,0.00%,500.0,416.0,923.0,-72.0
1183.0,PLUS 단기채권액티브,115760.0,상승  45,+0.04%,0.0,,,
1184.0,ACE AI반도체포커스,13650.0,상승  620,+4.76%,0.0,,,
